Name,Ratings,genres,overview,Year,Cast
Aap Ki Nazron Ne Samjha,4.4,Drama,"Darsh, a blind photographer, crosses path with selfless Nandini. Sparks fly, hearts flutter and a beautiful tale of love begins.",2021– ,"Richa Rathore ,Vijayendra Kumeria ,Saurabh Agarwal ,Aditi Rathore"
Mehndi Hai Rachne Waali,7.5,"Drama, Romance","Widowed Pallavi is all for family, while loner Raghav, a business magnate, is all for money. One day, these polar opposites clash.",2021– ,"Sameer Deshpande ,Sai Ketan Rao ,Shivangi Khedkar ,Sarika Raghwa"
Pandya Store,5.7,Drama,"In the era of nuclear families, Dhara uses her entrepreneurial foresight to revive her ancestral business. But can she keep her family united against all odds?",2021– ,"Shiny Doshi ,Kinshuk Mahajan ,Kanwar Dhillon ,Alice Kaushik"
Shaurya Aur Anokhi Ki Kahani,7.3,Drama,"Sparks fly when masked modern-day misogynist Shaurya comes across Anokhi, a headstrong girl. With their clashing ideologies on the line, will opposites attract?",2020– ,"Karanvir Sharma ,Debattama Saha ,Rajvir Chauhan ,Kirron Arya"
Rudrakaal,6.7,Action,"Suspended IPS officer Ranjan, aka Cheetah, is on a mission to find his mentor's killer. Juggling his personal and professional demons, he is in for a surprise.",2021– ,"Shahnawaz Hussain ,Ayush Saxena ,Hemant Gaur ,Flora Saini"
Zindagi Mere Ghar Aana,8.8,"Comedy, Drama, Romance","Despite losing their COVID warrior son to the pandemic, the Sakhujas are hopeful during tragic times. What happens when a grumpy loner enters their life?",2021– ,"Hasan Zaidi ,Esha Kansara ,Raanveer Chahal ,Adarsh Gautam"
Chikoo Ki Mummy Durr Ki,6.1,Drama,Add a Plot,2021– ,"Paridhi Sharma ,Vaishnavi Prajapati ,Monica Khanna ,Himanshu Malhotra"
Vidrohi,8.8,History,"Set in Odisha 1817, in the backdrop of Paika Rebellion, a common enmity with East India Company brings together Senapati Buxi Jagabandhu and Kalyani, a warrior princess.",2021– ,"Rajeshwari Datta ,Hemal Ingle ,Sharad Malhotra ,Firoz Ali"
Kabhi Kabhie Ittefaq Sey,7.6,Drama,"Gungun lives with her father and Aunt Only , so she does not know the joy of living in a big family like Anubhav. They have somewhat opposite personalities but still fate wants them to complete the love they are lacking in their lives.",2022– ,"Naina Gupta ,Yesha Rughani ,Manan Joshi ,Riya Bhattacharya"
Yeh Jhuki Jhuki Si Nazar,7.4,Drama,Add a Plot,2022– ,"Swati Rajput ,Ankit Siwach ,Mrinal Navell ,Preetika Chauhan"
Smart Jodi,0.0,Reality-TV,Add a Plot,2022,"Manish Paul ,Neil Bhatt ,Aishwarya Sharma Bhatt ,Ankita Lokhande"
Kumkum Bhagya,3.2,"Comedy, Drama, Romance",Kumkum Bhagya is a love story of Pragya and Abhi who are destined to be together against all odds.,2014– ,"Kapil Singh Lalwani ,Sriti Jha ,Shivani Sopori ,Shabbir Ahluwalia"
Kundali Bhagya,2.0,Drama,The show narrates the story of two sisters of Pragya from Kumkum Bhagya (2014) Preeta and Srishti and their attempt to reunite with their mother Sarla.,2017– ,"Shraddha Arya ,Dheeraj Dhoopar ,Manit Joura ,Kapil Singh Lalwani"
Aap Ke Aa Jane Se,7.1,"Drama, Romance","A love story between a 42 year old middle class, conservative single mother, Vedika and a 24 year old irresponsible, maverick, Sahil, from a traditional, super rich business family.",2018–2019,"Suhasi Goradia Dhami ,Karan Jotwani ,Sharmila Dey ,Harish Chhabra"
Kaleerein,7.1,"Drama, Romance","A free-spirited girl who wants to live life on her own terms, Meera values her uniqueness and is in search of a suitor who will accept her for the person she truly is.",2018– ,"Arjit Taneja ,Ritu Vashisht ,Sagar Saini ,Javed Murtaza Ali Khan"
Piyaa Albela,6.2,"Drama, Musical, Romance","Naren, a spiritually inclined boy, spends his time admiring nature and doing humanitarian work. His friendship with Pooja, a pretty college student, changes his life in the most unexpected way.",2017– ,"Akshay Mhatre ,Sheen Das ,Tusharr Khanna ,Avinash Wadhawan"
Woh Apna Sa,6.2,"Drama, Romance","Revolves around the lives of 3 people, Aditya ( Sudeep Sahir), Nisha (Riddhi Dogra) and Jhanvi ( Disha Parmar), and Woh played by Jhanvi, will redefine the status of Woh, and make people ...                See full summary »",2017–2018,"Sudeep Sahir ,Disha Parmar ,Manasi Salvi ,Riddhi Dogra"
Zindagi Ki Mehak,7.1,Romance,"Two foodies from a different background meet each other. As their characters develop, the love for food changes to love for each other. This series is about how they grow as human beings, ...                See full summary »",2016–2018,"Vijay Meenu ,Karan Vohra ,Samiksha Jaiswal ,Sidhharrth Sipani"
Hip Hip Hurray,8.7,Drama,"The story is based on the lives of 12th grade students at the DeNobili High School and their adventures, their fears and hopes, their relationships and interactions. Besides that the story ...                See full summary »",1999– ,"Bhoomika Chawla ,Rushad Rana ,Pamela Mukherjee ,Nilanjana Sharma"
12/24 Karol Bagh,7.3,Drama,Add a Plot,2009–2010,"Smriti Kalra ,Ravi Dubey ,Neil Bhatt ,Alka Amin"
Kasamh Se,4.2,Drama,"An Ekta Kapoor Serial that deals with the trials and tribulations of three sisters, Bani, Pia and Rano.",2006–2009,"Ram Kapoor ,Prachi Desai ,Arunima Sharma ,Roshni Chopra"
Afsar Bitiya,8.4,Drama,"The story traces the journey of Krishna, whose life centers around getting a good education to improve her family's life. The show also focuses on the importance of female education.",2011–2012,"Mitali Nag ,Kinshuk Mahajan ,Virendra Saxena ,Meena Mir"
Aisi Deewangi Dekhi Nahi Kahi,8.3,"Drama, Romance","Set in Gujarat, the story revolves around two individuals, Prem and Tejaswini who start off in the wrong foot but eventually fall in love with each other.",2017–2018,"Ray Parihar ,Pranav Misshra ,Jyoti Sharma ,Kamila Ratikant"
Ardhangini - Ek Khoobsurat Jeevan Saathi,0.0,Drama,"The story is based on the life of a simple girl named Kangana, who belongs to a traditional Bengali family. Kangana is an exceptionally beautiful girl who knows that she can attract any man...                See full summary »",2007– ,"Shalini Kapoor ,Gireesh Sahdev ,Melissa Pais ,Chetan Pandit"
Astitva Ek Prem Kahani,8.1,"Drama, Romance",How Simran emerges a winner out of a situation where she has no control.,2002– ,"Niki Walia ,Varun Badola ,Kamya Punjabi ,Neeru Bajwa"
Aur Pyaar Ho Gaya,8.2,Drama,Aur Pyaar Ho Gaya is a coming of age story about two young people who have different notions about love.,II 2014– ,"Mishkat Varma ,Kanchi Singh ,Kalpesh Rajgor ,Asif Syed"
Banegi Apni Baat,7.0,Drama,"India's first teenage soap that dealt with teenage issues, from pimples to premarital sex . 'Banegi Apni Baat' also has the credit of being the longest running weekly fiction show on Indian television. 312 episodes and 6 years.",1994–1998,"Firdaus Dadi ,Irrfan Khan ,Surekha Sikri ,Masumeh Makhija"
Banoo Main Teri Dulhann,6.4,"Drama, Romance","Dulhan is the love story of an innocent, illiterate girl Vidya and a mentally challenged young man Sagar. Vidya, on the night of her marriage, comes to know about Sagar's abnormal mental ...                See full summary »",2006–2009,"Divyanka Tripathi Dahiya ,Sharad Malhotra ,Kamya Punjabi ,Himanshi Choudhary"
Chashme Baddoor,0.0,,Add a Plot,1998–1999,
Chotti Bahu,7.9,Romance,Add a Plot,2008–2012,"Rubina Dilaik ,Avinash Sachdev ,Rita Bhaduri ,Gopi Desai"
Dastaan,0.0,Thriller,The story is about the rivalry between two businessmen Karan Kapoor and Lankesh.,1994–1995,"Suresh Oberoi ,Parmeet Sethi ,Ashish Vidyarthi ,Niki Walia"
Doli Armaano Ki,6.7,Drama,A woman's struggle in this male dominated society that will leave her to embark on a quest of eternal marital bliss.,2013–2015,"Kapil Arya ,Neha Marda ,Mohit Malik ,Ayesha Singh"
Do Dil Bandhe Ek Dori Se,8.0,Drama,"Shivani's grandfather wants her to marry Abhimanyu. But when Shivani and her servant, Raghu, come to know that Abhimanyu just wants her grandfather's money, she marries Raghu in a fake ceremony.",2013–2014,"Arhaan Behl ,Mansi Srivastava ,Alok Nath ,Vikas Sethi"
Dollar Bahu,7.0,Drama,It's the story of a mother-in-law who thinks the Indian daughter-in-law is not as good as her counterpart in the USA - the Dollar Bahu (played by Chandni Toor) who lives in the golden land....                See full summary »,2001–2004,"Ismail Bashey ,Deepak Parashar ,Kunika Sadanand ,Himani Shivpuri"
Ek Mutthi Aasmaan,7.4,Drama,"Kalpana struggles to fulfil the dreams and aspirations set by her mother, Kamla, a domestic worker who does everything she can to provide a decent life for her.",2013–2015,"Shilpa Shirodkar ,Rachana Parulkar ,Aashish Chaudhary ,Asha Negi"
Ek Tha Raja Ek Thi Rani,7.5,"Drama, History, Romance",A journey of Gayatri from being a girl with no future since she is a manglik to becoming queen of Ranaji's heart and of the people of the land.,2015–2017,"Drashti Dhami ,Siddhant Karnick ,Eisha Singh ,Sartaj Gill"
Ghar Ki Lakshmi Betiyann,6.8,Drama,Add a Plot,2006– ,"Kshitee Jog ,Aleeza Khan ,Aishwarya Narkar ,Neetha Shetty"
Hasratein,7.9,Drama,Add a Plot,1996–1999,"Seema Kapoor ,Dharmesh Vyas ,Harsh Chhaya ,Shefali Chaya"
Hitler Didi,7.7,Drama,Indira Sharma is the only working member in a family of six. She is weighed down by the responsibility of providing for her whole family at a very young age.,2011–2013,"Rati Pandey ,Sumit Vats ,Aakash Pandey ,Aasiya Kazi"
Jamai Raja,5.3,Drama,"Siddharth, a hotelier, takes up the responsibility of repairing the relationship between his independent wife, Roshni, and his enterprising mother-in-law, Durga Devi.",2014–2018,"Ravi Dubey ,Nia Sharma ,Achint Kaur ,Rajeshwari Datta"
Ek Veer Stree Ki Kahaani... Jhansi Ki Rani,7.7,"Action, Adventure, Biography",Ek Veer Stree ki Kahaani... Jhansi Ki Rani is the story of an ordinary girl who went on to become an extraordinary ruler. Her defiance against the British is exemplary even today. The ...                See full summary »,2009–2011,"Ulka Gupta ,Kratika Sengar ,Hemant Choudhary ,Sameer Dharmadhikari"
Jodha Akbar,5.6,"Action, Drama, History",A sixteenth century political marriage of convenience between a Mughal emperor Akbar and a Rajput princess Jodha Bai. The show focuses on how their political marriage brings love between ...                See full summary »,2013–2015,"Paridhi Sharma ,Rajat Tokas ,Kapil Singh Lalwani ,Manish Bishla"
Kammal,5.2,Drama,"The story portrays the life of a young girl, Kammal (Keerti Gaekwad Kelkar), who is brought up by three bar dancers.",2002–2003,"Ronit Roy ,Sandeep Baswana ,Pratima Kazmi ,Amita Chandekar"
Kohi Apna Sa,5.2,Drama,"The life of three friends - Khushi, Shruti and Sanjana once they get married in the same joint family.",2001–2003,"Narayani Shastri ,Hrishikesh Pandey ,Sherrin Varghese ,Kaliprasad Mukherjee"
Kaala Teeka,5.5,Drama,"Kaala Teeka is the story of Vishwaveer Jha (Bhupinder Singh) and his quest to keep his only daughter, Gauri, safe and protected. Vishwaveer discovers that an abandoned baby girl is able to ...                See full summary »",2015–2017,"Simran Pareenja ,Fenil Umrigar ,Rohan Gandotra ,Mayank Gandhi"
Kasshish,0.0,Romance,"Kasshish was a Daily soap for Zee tv directed by Mr. Ravi Rai & Asif Malik, DoP Ritesh Shetty and Produced by Kay Sera Sera staring Simone Singh, Ayub Khan, Kittu Gidwani And Mukul Dev as a cameo.",2005– ,"Simone Singh ,Ayub Khan ,Kitu Gidwani ,Faizan Kidwai"
Kittie Party,0.0,Drama,Revolves around the lives of eight women who meet every month for their Kittie party.,2002–2004,"Poonam Dhillon ,Deepshikha Nagpal ,Maya Alagh ,Preeti Dayal"
Lipstick,0.0,"Drama, Romance",The story of two young women Suniti Verma and Sheetal Singhania working for two rival production houses UPC and Hands respectively. UPC has a film magazine called Darpan run by Suniti while Sheetal runs a magazine named Lipstick for Hands.,2002–2004,"Nigaar Khan ,Alyy Khan ,Kruttika Desai ,Shweta Salve"
Maayka,6.7,Drama,Add a Plot,2007– ,"Vivan Bhatena ,Neha Bamb ,Vineet Raina ,Shilpa Shinde"
Mera Naam Karegi Roshan,0.0,Drama,"Reet obeys her father's every wish, including his last wish, for which the family disown her and she has to fend for herself. Will she survive this tough fight against her own?",2010– ,"Amrapali Dubey ,Gautam Rode ,Yashpal Sharma ,Vikram Gokhale"
Meri Saasu Maa,7.2,Drama,A story of Pari and her pursuit to find a mother in her mother-in-law.,2016,"Hiba Nawab ,Pearl Puri ,Anindita Saha Kapileshwari ,Siddharth Arora"
Miit,6.4,Drama,Add a Plot,2002–2003,"Raj Singh Verma ,Deepa Parab ,Preeti Mehra ,Rajan Verma"
Punar Vivaah: Zindagi Milegi Dobara,3.3,Drama,"Yash, a wealthy widower with two daughters, marries Aarti who has a son from her previous marriage. Both individuals face many ups and downs in their second endeavor to embark on the marital journey.",2012–2013,"Gurmeet Choudhary ,Kratika Sengar ,Geeta Tyagi ,Amit Singh Thakur"
Pavitra Rishta,6.1,"Drama, Romance","Story of Archana, whose sole objective is to fulfill the needs of her family and keep everyone happy. How she meets her soul mate Manav, gets married to him and how they deal with twists and turns of life.",2009–2014,"Ankita Lokhande ,Amit Sarin ,Sushant Singh Rajput ,Asha Negi"
Piya Ka Ghar,6.2,Drama,"The story is based on the life of a 21-year-old young girl Rimjhim who is pretty, elegant, and soft-spoken but quick-witted and full of fun. Rimjhim, who lives in a small town, dreams of ...                See full summary »",2002– ,"Narayani Shastri ,Sulabha Arya ,Suhasini Mulay ,Sajni Hanspal"
Pyar Zindagi Hai,0.0,Drama,Add a Plot,2003–2004,"Mukul Dev ,Bharat Kapoor ,Sadhana Singh ,Rakhee Tandon"
Qubool Hai,5.3,"Family, Romance","It is the story of Zoya Farooqui (Surbhi Jyoti), NRI from New York who comes to India, Ayaan Ahmed Khan (Rishabh Sinha)/(Vikrant Massey) charming boy, Asad Ahmed Khan (Karan Singh Grover)/(Raqesh Vashisth)",2012–2016,"Surbhi Jyoti ,Karan Singh Grover ,Karanvir Bohra ,Namik Paul"
Rab Se Sohna Isshq,7.2,Drama,Add a Plot,2012–2013,"Ekta Kaul ,Ashish Sharma ,Kanan Malhotra ,Juel Stokes"
Reth,,Drama,Reth tells the story of struggle of a married woman to get back her lost honor in her husband's family. Protagonist Jiya's integrity comes under suspicion from members of her husband's ...                See full summary »,,"Kishwar Merchant ,Nupur Alankar ,Ankur Nayyar ,Diwakar Pundir"
Saat Phere... Saloni Ka Safar,6.6,Drama,"The story revolves around the main protagonist, Saloni, and her struggle against the stigmas forced upon her by society and her quest to establish her unique identity.",2005–2009,"Sharad Kelkar ,Rajshree Thakur ,Surekha Sikri ,Akshay Anand"
Sanjog Se Bani Sangini,7.2,Drama,Add a Plot,2010–2011,"Iqbal Khan ,Binny Sharma ,Aruna Irani ,Sudha Chandran"
Sapne Suhane Ladakpan Ke,5.6,Drama,"The story of two teenage girls Gunjan and Rachna. Gunjan, a modern girl living in Mumbai, loses her very loved mother after she gets diagnosed with cancer. Sneha, Gunjan's late mother, ...                See full summary »",2012–2015,"Roopal Tyagi ,Mahima Makwana ,Ankit Gera ,Bhuvnesh Shetty"
Shobha Somnath Ki,9.4,Drama,"Set in the 11th century in Somnath, Gujarat, we observe the relationship between Raja Jai Singh and Mohammad Ghaznavi, who were the prominent Rajput and Mughal rulers in that era.",2011–2012,"Ashnoor Kaur ,Tarun Khanna ,Joy Rattan Singh Mathur ,Sandeep Arora"
Sinndoor Tere Naam Ka,6.6,Drama,"Two sisters, Vedika (Mentally unstable) and Niharika (in love with another man) get married in the same family.",2005– ,"Sachin Shroff ,Pracheen Chauhan ,Gurdeep Kohli ,Keerti Gaekwad Kelkar"
Tashan-E-Ishq,7.1,Drama,"The story revolves around the lives of Twinkle and Yuvraj, and their triangular relationship of love, hatred, betrayal and obsession.",2015–2016,"Sidhant Gupta ,Zain Imam ,Jasmin Bhasin ,Naman Shaw"
Teen Bahuraaniyaan,0.0,"Comedy, Drama","A tale of three daughters-in-law - Manjeet (Payal), Bindiya, and Janki ; who come from different backgrounds and now live under one roof with the Gheewala family.",2007–2009,"Aman Verma ,Amrapali Gupta ,Mehul Kajaria ,Manava Naik"
Kareena Kareena,7.1,Comedy,Add a Plot,2004–2005,"Kulraj Randhawa ,Nandita Puri ,Sandeep Rajora ,Mohit Mattoo"
Brahmarakshas: Jaag Utha Shaitaan,6.6,Horror,"Set in Kamalpura, a remote village in India where the newly wed brides live under constant fear of becoming a prey to unknown monster. Since this unknown beast or demon attacks the newly ...                See full summary »",2016–2017,"Shrashti Maheshwari ,Mridul Das ,Ambrish Srivastava ,Shahab Khan"
Mano Ya Na Mano,6.4,"Drama, Horror, Mystery",The series features episodic horror/thriller stories based on supernatural beliefs. Each story is portrayed in a fabricated and dramatic representation based on mystic and paranormal convictions.,1995,
Naaginn: Waadon Ki Agniparikshaa,6.9,Fantasy,"A show about Amrita, a shape shifting woman i.e. a snake who can transform into human form at her own will. The Singh family has killed her parents for the precious and elusive Jewel (...                See full summary »",2007–2009,"Preeti Puri ,Sayantani Ghosh ,Khushi Dubey ,Sachin Shroff"
Nagin,5.8,Thriller,"Vaishnavi's magical gem is taken from her and her life partner, Paras, is shot and wounded. Vaishnavi takes revenge from the people who have taken her gem which can save Paras and punishes them one by one.",1998– ,"Seema Kapoor ,Ronit Roy ,Nawab Shah ,Neelam Sagar"
The Zee Horror Show,8.1,"Drama, Horror, Mystery",A non hosted horror movie show by Ramsay Brothers on Zee TV between 1993 to 1997.,1993–1997,"Sudhir ,Javed Khan ,Prabha Sinha ,Poonam Dasgupta"
Maharakshak Devi,7.2,Fantasy,Devi is the story of the most powerful girl in the world who is unaware of her extraordinary powers. She has spent the first 17 years of her life away from human civilization. Devi's ...                See full summary »,2015,"Shresth Kumar ,Sahil Uppal ,Charu Asopa ,Varun Kapoor"
Maharakshak Aryan,7.0,Fantasy,"Shy nerd Aryan learns soon after his 18th birthday that he has inherited superpowers, which he must use to vanquish a variety of evil threats.",2014–2015,"Reena Agarwal ,Aakarshan Singh ,Vikramjeet Virk ,Ali Hassan"
Koshish... Ek Aashaa,6.7,Drama,"The life of a married woman named Kajal, who gets betrayed by her parents-in-law into marrying a mentally challenged man, Neeraj. A victim of circumstances, she stands dignified in the face of turmoil.",2000–2002,"Sandhya Mridul ,Varun Badola ,Anupam Bhattacharya ,Savita Prabhune"
Hum Paanch,8.2,Comedy,"Anand Mathur, a middle-class businessman living in Bombay, gets no end of trouble from his five wild, troublesome daughters.",1995–2006,"Ashok Saraf ,Shoma Anand ,Priya Tendulkar ,Vandana Pathak"
Ishq Subhan Allah,5.9,"Drama, Romance","Two people, Zara and Kabeer who follow the same religion, Islam but interpret the Quran differently.",2018– ,"Eisha Singh ,Adnan Khan ,Ankit Vyas ,Puvika Gupta"
Juzz Baatt,7.6,Reality-TV,A talk show hosted by Rajeev Khandelwal.,2018– ,"Rajeev Khandelwal ,Shraddha Arya ,Mishal Raheja ,Mandira Bedi"
Yeh Teri Galiyan,6.5,Romance,"Two children, a boy and a girl, who are raised in a brothel and love each other are cruelly separated when the former is adopted by rich parents. Will destiny reunite them?",2018–2020,"Vrushika Mehta ,Lavin Gothi ,Avinash Mishra ,Upen Chauhan"
Tujhse Hai Raabta,3.0,Drama,Tale of a bittersweet relationship between stepmother and daughter.,2018–2021,"Reem Shaikh ,Sehban Azim ,Poorva Gokhale ,Savita Prabhune"
Tum Bin Jaaoon Kahaan,0.0,Romance,The story revolves around Aryan who loses his girlfriend Muskaan in a road mishap and comes back from the dead.,2003– ,"Vikas Bhalla ,Seema Shetty ,Neetha Shetty ,Sudha Chandran"
Guddan Tumse Na Ho Payega,4.4,"Comedy, Romance","The story revolves around Guddan, a 20-year-old girl, who makes a mess of every opportunity that comes her way and therefore people have lost all hopes on her. Life takes an unexpected turn...                See full summary »",2018– ,"Kanika Mann ,Nishant Malkani ,Subhasis Chakraborty ,Shweta Mahadik"
India's Best Dramebaaz,5.9,Reality-TV,This program features the best episodes of India's Best Dramebaaz. A talent show for children where they are judged for their acting capabilities.,2013–2018,"Vivek Oberoi ,Sonali Bendre ,Omung Kumar ,Rithvik Dhanjani"
Lavanya,0.0,Drama,Add a Plot,2004,"Himanshi Choudhary ,Rohit Bakshi ,Shilpa Saklani ,Ashish Kapoor"
Lajwanti,7.0,"History, Romance","Lajwanti is a story set against the India-Pakistan partition. It is a turbulent love story of Lajwanti and Sunderlal, a story of separation and circumstances that question the sanctity of their relationship and tests their love.",2015–2016,"Siddharth Makkar ,Ankita Sharma ,Rohit Khurana ,Sanjeev Sharma"
Mrs. Kaushik Ki Paanch Bahuein,8.4,"Drama, Family","Mr. and Mrs. Kaushik have five sons, all of whom are married and well settled. However, their journey gets intriguing as they welcome five daughter-in-laws, all from different cultural backgrounds.",2011–2013,"Vibha Chhibber ,Ragini Nandwani ,Mukul Harish ,Mithila Purohit"
Parrivaar - Kartavya Ki Pariksha,0.0,Drama,"The show is based on the story of a middle-class girl Radha, who goes through the hardships of survival, education, and employment to support her poor family. Since the father has abandoned...                See full summary »",2007– ,"Deepti Devi ,Sachin Sharma ,Neena Cheema ,Alka Ashlesha"
Bhagonwali - Baante Apni Taqdeer,0.0,Family,Add a Plot,2010–2012,"Nivedita Tiwari ,Himanshu Malhotra ,Rita Bhaduri ,Ankit Bathla"
Badalte Rishton Ki Dastaan,6.8,Drama,"Badalte Rishton Ki Dastaan translates to ""a tale of fickle relationships"". It is the story of relationships and the fight against patriarchal society. The majority of the series occurs within the spacious Asthana family home.",2013,"Additi Gupta ,Sanjeeda Sheikh ,Richa Soni ,Kiran Karmarkar"
Bhootu,5.5,"Comedy, Drama, Fantasy","Pihu, the ghost of a seven-year-old, attempts to shield her mother, Anandita, from all harm with the help of her friend and god-child Krishna.",2017–2018,"Arshiya Mukherjee ,Akansha Chamola ,Sameer Sharma ,Sanjeev Pandey"
Detective Didi,8.4,Drama,Detective Didi is a crime thriller drama starring Manish Gopalalni and Sonia Balani in the lead. The story revolves around a street-smart ace private detective Bunty Sharma and special ...                See full summary »,2017–2018,"Lokesh Kumar Aggarwal ,Lavanya Bhardwaj ,Sonia Balani ,Manish Goplani"
Hamari Betiyoon Ka Vivaah,6.6,Drama,Add a Plot,2008– ,"Pariva Pranati ,Himani Shivpuri ,Raju Kher ,Sonaali Suryavanshi"
Hello Friends,1.0,Comedy,"It is a comedy about a group of six lovable, humorous, fun-loving friends and their adventures and misadventures. Sanjana is a designer at a clothing factory. One thing that she can't stand is untidiness.",1999–2000,"Aparna Banerjee ,Mandira Bedi ,Cyrus Broacha ,Nikhil Chinappa"
Neeli Chatri Waale,8.5,"Comedy, Drama, Family","The story revolves around Bhagwan Das, a salesman, who is torn between his personal and professional life. He meets Lord Shiva, who guides him through his various problems and stays with him during his difficult times.",2014–2016,"Yashpal Sharma ,Rajesh Kumar ,Disha Savla ,Himanshu Soni"
Satrangi Sasural,8.4,"Comedy, Drama, Romance","The story of love and marriage of Vihaan and Aarushi. Vihaan Vatsal's family consists of him and his seven ""mothers""; he is the only male member in the house, while the matriarch is Daadi Maa.",2014–2016,"Mugdha Chaphekar ,Vrushika Mehta ,Ravish Desai ,Javed Murtaza Ali Khan"
Khana Khazana,7.4,Reality-TV,Well-known Indian celebrity Chef Sanjeev Kapoor creates magic with delectable recipes by mixing the traditional with the contemporary and gives tips on how to prepare delicious dishes.,1993– ,
Sa Re Ga Ma Pa,6.2,"Musical, Reality-TV",Indian music reality show.,1995– ,"Shaan ,Aditya Narayan ,Shreya Ghoshal ,Himesh Reshammiya"
Tumhari Disha,0.0,Drama,The story of a girl named Disha and her life changing moments.,2004–2006,"Chhavi Mittal ,Ashish Nayyar ,Vije Bhatia ,Kavita Kaushik"
Shree,8.9,"Drama, Fantasy, Mystery",A love story with a paranormal element.,2008–2009,"Vibha Anand ,Pankaj Singh Tiwari ,Mehul Buch ,Wasna Ahmed"
Service Wali Bahu,8.1,Drama,Service Wali Bahu' is about a simple Rai family living in a small town near Jamshedur called Chaibasa. The heart of the family is Payal PWD engineer and she has a heart of gold too. She is the pride of her family.,2015,"Kratika Sengar ,Abhishek Rawat ,Rocky Verma ,Ramakant Dayma"
Dil Dhoondta Hai,7.8,Drama,A Maharashtrian boy and a Punjabi girl fall in love and get married. They come to Mumbai and dream of purchasing a big home for their family.,2017–2018,"Stavan Shinde ,Shivya Pathania ,Rajan Bhise ,Ashish Dixit"
Fear Files: Darr Ki Sachchi Tasveerein,6.2,Horror,The series mainly focuses on the story of different paranormal and strange cases from different parts of India inspired from real life incidents. It also shows investigation and subsequent exorcism.,2012– ,"Kuldeep Singh ,Amardeep Garg ,Marcell Dsouza ,Nikhil Khali"
Fear Files: Har Mod Pe Darr,5.4,Horror,"TV One's horror anthology Fear Files (formerly Fright Night Files) returns with three new terrifying tales of love, revenge, and murder - Mama's Boy, Fire and For The Love of Lockwood Too.",2015– ,"Kirtansinh Zala ,Karishma Sharma ,Jividha Sharma ,Adaa Khan"
Rooh,0.0,Horror,"""Rooh"" is the most popular Horror show in India on ZEE TV Channel in 2004.",2004– ,"Vaquar Shaikh ,Shankar Mishra ,Tarun Khanna ,Yusuf Hussain"
Woh,6.4,"Crime, Drama, Horror",The Hindi adaptation of the 1990 American TV miniseries It.,1998,"Ashutosh Gowariker ,Lilliput ,Mamik Singh ,Anupam Bhattacharya"
Hudd Kar Di,7.6,Comedy,"The story is about a simple happy Indian family living in the city, when their parents come from their village to city. What follows, is a series of comical events happening every day.",1998–1999,"Shilpa Tulaskar ,Dara Singh Randhawa ,Rita Bhaduri ,Mahesh Thakur"
Ghar Jamai,7.1,Comedy,"Mr Mehra, a Punjabi businessman, locks horns with his Tamilian son-in-law, Subodh aka Subbu, setting off a chain of hilarious situations",1997–1998,"Mandira Bedi ,Satish Shah ,Farida Jalal ,Madhavan"
Gangs of Hassepur,0.0,Comedy,"Judges weigh in on a mix of outlandish sketches, stand-up comics and other comedy routines that poke fun at politics and other current events.",2014,
Bin Kuch Kahe,7.2,Romance,"Three young sisters living in a dysfunctional family face several issues in their lives. However, with a sacrificing and supportive mother, they battle difficulties with aplomb.",2017– ,"Shamata Anchan ,Rashmi Somvanshi ,Sameer Arora ,Sameer Arora"
Bh Se Bhade,6.6,Comedy,"A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.",2013– ,"Deven Bhojani ,Suchita Trivedi ,Sarita Joshi ,Varun Khandelwal"
Baat Ban Jaaye,6.7,Comedy,"Three youngsters, who live together as paying guests, come up with their own unique solutions for the problems they face in their daily lives.",1998–1999,"Rohit Roy ,Ronit Roy ,Kashmira Shah ,Niki Walia"
Hello Pratibha,5.1,Drama,"Hello Pratibha revolves around a housewife, Pratibha. This serial shows how Pratibha's family neglects her and her dreams and how she changes their mentality and conquers her dreams.",2015,"Sheeba Chaddha ,Binny Sharma ,Sachal Tyagi ,Snigdha Pandey"
Sanskaar Laxmi,0.0,Drama,"A less educated but worldly wise, mature and extremely talented Laxmi overcomes obstacles to settle down in her life.",2011,"Vivan Bhatena ,Vibha Anand ,Shakti Arora ,Suzanne Bernert"
Paalkhi,0.0,Drama,"The story of Palak, Pranjal and Daksh. Palak, the only child of separated parents comes to India from London, and falls in love with Pranjal, the twin brother of Daksh. This gets further ...                See full summary »",2005–2006,"Karishma Tanna ,Shalini Kapoor ,Sandeep Mehta ,Nazneen Patel"
Rabba Ishq Na Hove,0.0,Romance,"A love story about a girl who fall in love with a boy, only to realize he was playing a prank on her.",2005– ,"Sangeeta Ghosh ,Varun Badola ,Nikhil Arya ,Aruna Irani"
Amma,5.7,"Crime, Drama, Thriller",The journey of the female underworld kingpin through five decades.,I 2016,"Shabana Azmi ,Aman Verma ,Ashmit Patel ,Nishigandha Wad"
Time Bomb,6.9,Action,"It's 11 September again and Osama (the face of terrorism worldwide) is planning to destroy four major cities of the world (New Delhi, Washington DC, London and Tel Aviv). Prime Minister ...                See full summary »",2005– ,"Rajeev Khandelwal ,Amruta Khanvilkar ,Kay Kay Menon ,Akashdeep Saigal"
